Position,Value,Timestamp
0,589,1962-01
4,727,1962-05
9,577,1962-10
12,600,1963-01
16,742,1963-05
21,587,1963-10
24,628,1964-01
28,770,1964-05
33,611,1964-10
36,658,1965-01
40,782,1965-05
45,621,1965-10
48,677,1966-01
52,811,1966-05
57,667,1966-10
60,713,1967-01
64,837,1967-05
69,687,1967-10
72,717,1968-01
76,858,1968-05
81,706,1968-10
84,734,1969-01
88,871,1969-05
96,750,1970-01
100,886,1970-05
105,747,1970-10
108,804,1971-01
112,942,1971-05
117,800,1971-10
120,826,1972-01
124,961,1972-05
129,810,1972-10
132,821,1973-01
136,957,1973-05
141,791,1973-10
144,828,1974-01
148,969,1974-05
156,834,1975-01
160,966,1975-05
165,827,1975-10
167,843,1975-12
